x,y,made
25.9,40.15,True
15.4,27.15,False
2.8000000000000007,30.55,False
4.399999999999999,25.65,False
25.9,40.25,False
31.3,26.65,False
33.7,17.85,False
1.8000000000000007,31.55,False
23.5,26.25,False
18.6,35.55,True
39.1,20.35,False
25.5,40.25,True
39.4,19.65,False
19.1,40.95,True
14.5,17.15,True
47.8,42.55,False
25.8,40.75,True
39.1,21.25,False
26.4,40.55,False
24.9,40.45,False
34.8,18.25,True
21.9,40.15,False
43.5,39.55,True
8.5,13.25,False
23.0,14.149999999999999,False
23.0,38.65,True
24.5,37.15,False
25.5,40.75,True
14.3,19.15,False
22.0,31.15,False
23.1,40.65,True
25.8,36.95,False
28.3,14.049999999999997,True
26.6,39.65,False
25.2,41.15,False
33.0,16.75,False
28.6,40.45,False
24.6,41.35,True
19.9,35.75,False
13.1,39.75,True
11.8,17.65,False
24.4,40.45,True
26.4,41.25,False
25.5,35.45,False
25.8,40.95,True
42.7,24.15,False
26.6,40.65,True
19.1,41.05,False
34.3,39.35,True
4.600000000000001,17.85,False
1.5,37.25,True
47.7,40.45,False
23.5,40.15,False
7.100000000000001,22.75,False
25.0,42.35,True
2.1999999999999993,31.75,False
39.2,19.15,True
24.7,41.85,True
44.6,22.25,False
25.3,25.45,False
1.6999999999999993,41.05,False
35.5,30.75,False
25.1,41.35,True
14.3,23.05,False
40.0,33.25,True
14.6,16.25,False
25.2,41.15,True
48.4,43.25,False
2.1000000000000014,39.35,True
47.7,39.25,False
40.8,17.45,False
20.5,31.85,False
23.1,17.45,False
19.1,19.95,True
27.4,13.25,False
39.5,21.05,False
22.5,35.35,True
17.2,34.95,False
26.2,41.05,True
48.1,33.95,True
25.5,40.05,False
12.3,37.85,False
45.0,24.15,False
7.100000000000001,28.85,True
47.4,42.35,True
47.6,40.75,True
25.2,22.65,True
1.6000000000000014,35.95,False
32.8,17.15,True
24.3,40.65,True
23.6,35.65,False
24.4,40.25,True
25.5,40.75,False
20.2,30.65,True
25.3,41.15,True
16.1,11.950000000000003,False
19.2,41.95,True
23.1,16.15,False
26.6,41.15,False
26.9,40.15,True
47.7,31.95,True
12.7,18.95,False
47.7,40.75,False
26.2,40.55,False
48.4,37.65,False
25.0,39.35,True
14.7,16.65,False
25.2,35.45,False
25.0,39.95,True
47.8,41.75,False
24.8,41.25,True
22.5,40.35,False
24.9,41.15,True
14.1,18.25,True
25.0,42.35,False
18.7,40.45,True
26.2,37.95,True
15.6,25.35,True
35.9,18.75,True
21.7,16.65,False
8.899999999999999,17.45,True
18.6,24.45,False
48.5,34.65,True
12.0,21.25,True
31.5,16.65,False
26.3,41.35,True
24.2,41.65,True
24.4,40.05,True
22.5,17.15,False
42.9,22.75,False
24.6,41.65,True
24.7,40.05,True
2.8000000000000007,41.05,False
25.4,41.45,True
27.7,40.85,False
43.3,19.85,False
16.9,38.85,False
34.8,41.85,True
30.3,29.15,True
17.8,24.45,False
24.5,40.65,True
25.3,41.45,True
23.6,21.65,True
48.6,43.05,True
26.3,40.85,False
25.0,42.35,True
24.8,41.55,True
24.8,41.75,True
24.2,35.95,True
17.4,23.25,True
11.9,20.05,False
42.2,20.05,False
1.8999999999999986,32.75,False
25.0,42.35,True
25.6,39.45,True
35.3,43.45,False
12.8,19.75,False
26.9,41.55,True
10.9,17.85,False
1.8000000000000007,34.55,True
28.7,17.15,True
29.0,36.85,True
43.3,40.55,False
27.5,28.15,False
44.2,23.75,False
36.0,40.75,False
2.5,35.05,True
26.3,37.45,False
34.8,40.65,False
23.1,37.15,True
24.4,20.85,False
25.5,40.35,False
27.2,40.85,False
25.0,42.35,True
22.5,40.05,True
6.0,26.15,True
23.6,41.25,True
22.1,36.65,False
2.3999999999999986,38.15,False
21.2,35.85,False
9.5,22.45,True
29.4,23.95,False
36.7,30.65,True
24.7,40.45,True
35.5,42.15,True
27.5,32.25,False
24.5,30.75,False
2.5,38.65,False
25.7,40.45,True
47.7,39.65,True
18.9,35.15,True
14.4,26.45,True
18.7,17.35,False
22.6,25.25,False
26.9,40.05,False
42.7,24.15,False
16.5,32.55,False
23.6,41.65,True
36.6,18.25,False
34.2,18.35,False
9.5,22.25,False
25.2,40.25,True
46.8,42.15,False
5.699999999999999,25.55,False
27.2,40.55,False
25.8,39.85,True
47.6,30.55,True
25.3,39.55,False
24.2,40.75,True
24.2,34.85,False
24.1,11.549999999999997,False
18.4,33.95,False
35.9,19.85,True
5.100000000000001,32.95,False
22.2,39.35,False
39.5,19.95,True
10.0,21.35,False
23.9,41.85,True
33.3,31.55,True
2.6999999999999993,40.35,False
25.6,35.85,True
45.4,28.55,True
4.600000000000001,25.55,False
47.5,41.65,False
36.8,27.45,False
38.6,19.15,True
26.8,40.45,False
15.2,38.75,False
34.8,36.35,False
3.8000000000000007,26.45,False
25.0,42.35,True
8.0,22.95,False
25.0,41.05,True
38.6,19.45,True
37.8,18.15,False
22.0,28.75,False
24.4,40.35,True
26.1,34.25,True
25.0,40.85,False
24.7,40.35,True
19.8,26.25,True
25.0,25.85,True
30.2,16.15,True
24.8,39.25,False
47.8,39.25,False
25.2,16.15,False
5.5,23.35,False
25.5,40.15,False
9.7,41.45,False
48.1,41.25,True
24.3,34.25,True
24.5,41.85,True
25.0,42.35,True
30.7,39.35,True
13.0,33.25,False
19.9,34.95,False
26.5,40.95,True
3.3999999999999986,31.55,False
22.0,26.95,True
25.2,33.15,True
25.4,40.45,True
19.2,25.55,False
21.8,35.15,False
18.0,36.25,False
24.5,40.25,True
24.4,42.45,True
26.2,40.55,False
41.1,17.45,True
40.4,36.35,True
26.3,40.65,True
22.5,36.45,False
37.5,19.65,False
23.4,22.95,True
44.1,23.45,False
47.6,40.75,False
28.4,32.85,True
